CIK,YEARA,P_AAER,UNDERSTATEMENT
889900,2001,2345,0
889900,2002,2345,0
889900,2003,2345,0
889900,2004,2345,0
890286,1994,1259,0
890286,1995,1259,0
890286,1996,1259,0
890801,1998,2360,0
890801,1999,2360,0
890801,2000,2360,0
890923,2007,3181,0
890981,1987,471,0
891178,1993,787,0
891762,1993,821,0
891920,1995,1397,0
892433,1993,925,0
892535,2007,3370,0
892653,1998,1877,0
892653,1999,1877,0
892872,1994,1144,0
892872,1995,1144,0
893046,1999,1816,0
893046,2000,1816,0
893949,1997,2943,0
893949,1998,2943,0
893949,1999,2943,0
894501,1999,1824,0
894501,2000,1824,0
894501,2001,1824,0
894651,1982,46,0
894906,1995,1183,0
895364,2000,2894,0
895364,2001,2894,0
895364,2002,2894,0
895364,2003,2894,0
895364,2004,2894,0
895421,2000,2132,0
895421,2001,2132,0
895516,2004,3031,0
895516,2005,3031,0
895642,2010,3766,0
895651,2002,2329,0
896880,1994,1128,0
897074,1993,1044,0
898437,1998,1699,0
898437,1999,1699,0
899723,2001,2642,0
899723,2002,2642,1
900091,1997,1282,0
900339,1994,1301,0
901119,1996,1534,0
901119,1997,1534,0
904344,1993,975,0
907072,1994,992,0
907072,2000,1944,0
1618673,2000,1958,0
910329,2006,3487,0
910329,2007,3487,0
910329,2008,3487,0
910329,2009,3487,0
910406,1997,3045,0
910406,1998,3045,0
910406,1999,3045,0
910406,2000,3045,0
910406,2001,3045,0
910406,2002,3045,0
910406,2003,3045,0
910406,2004,3045,0
910613,1992,946,0
910613,1993,946,0
911004,2001,2351,0
911004,2002,2351,0
911004,2003,2351,0
911115,1997,1500,0
911115,1998,1500,0
911115,1999,1500,0
911115,2000,1500,0
911149,1993,1109,0
911707,1999,2582,0
911707,2000,2582,0
911707,2001,2582,0
911707,2002,2582,0
911707,2003,2582,0
912083,1997,1831,1
912083,1998,1831,1
912083,1999,1831,1
912593,2000,2386,0
912593,2001,2386,0
912593,2002,2386,0
912603,1999,2493,0
912603,2000,2493,0
912603,2001,2493,0
912603,2002,2493,0
912603,2003,2493,0
912603,2004,2493,0
912833,2004,3019,0
912833,2005,3019,0
912833,2006,3019,0
912894,1993,834,0
913144,2001,2484,1
913144,2002,2484,0
913144,2003,2484,0
913600,1996,1454,0
913600,1997,1454,0
913760,2010,3764,0
913760,2011,3764,0
913760,2012,3764,0
914282,1986,218,0
914282,1987,218,0
914565,1995,1478,0
914789,2001,2158,0
915840,2000,2884,1
915840,2001,2884,1
915840,2002,2884,1
915840,2003,2884,1
915840,2004,2884,1
915840,2005,2884,1
915840,2006,2884,0
915840,2007,2884,0
916802,1994,1414,0
916802,1995,1414,0
916802,1996,1414,0
917173,1996,1456,0
917173,1997,1456,0
917173,1998,1456,0
917173,1999,1456,0
917524,2000,2202,0
918111,1998,2238,0
918251,1996,1629,0
918251,1997,1629,0
918946,1998,1854,0
918999,1997,1967,0
918999,1998,1967,0
918999,1999,2284,0
918999,2000,2284,0
918999,2001,2284,0
919006,1994,1311,0
919006,1995,1311,0
919006,1996,1311,0
919742,2002,2753,0
919742,2003,2753,0
919742,2004,2753,0
919742,2005,2753,0
920317,1998,1677,0
921550,1994,1181,0
921550,2007,3758,0
921550,2008,3758,0
921550,2009,3758,0
921550,2010,3758,0
921550,2011,3758,0
922814,2000,2452,0
922814,2001,2452,0
922814,2002,2452,0
922868,2000,1775,0
923282,1999,2125,0
923282,2000,2125,0
923282,2001,2125,0
923662,1995,2205,0
923796,2005,2979,0
926296,1996,1161,0
927133,1997,1501,0
927653,1997,1329,0
927653,1998,1329,0
927971,2006,2901,0
928395,1999,2376,0
928395,2001,2825,0
928395,2002,2825,0
929940,2000,2532,0
929940,2001,2532,0
929940,2002,2532,1
929940,2003,2532,1
929940,2004,2532,1
929994,2009,3624,0
929994,2010,3624,0
929994,2011,3624,0
932112,2001,2359,0
932695,2005,3139,0
933974,1999,2653,0
933974,2000,2653,0
933974,2001,2653,0
933974,2002,2653,0
933974,2003,2653,0
933974,2004,2653,0
933974,2005,2653,0
934795,1990,736,0
935802,1998,2077,0
935802,1999,2077,0
936931,2001,2480,0
936931,2002,2480,0
936931,2003,2480,0
944765,2002,3067,0
944765,2003,3067,0
944765,2004,3067,0
944765,2005,3067,0
945024,1995,1095,0
945024,1996,1095,0
945024,1997,1095,0
946581,1997,2259,0
946581,1998,2259,0
946581,1999,2259,0
946581,2000,2259,0
946581,2001,2259,0
946581,2002,2259,0
946581,2003,2259,0
946816,1996,1531,0
947427,1992,1370,0
947427,1993,1370,0
947427,1994,1370,0
947431,2000,1509,0
948069,1999,1832,0
948069,2000,1832,0
1002131,1996,1648,0
1002131,1997,1648,0
1002131,1998,1648,0
1002131,1999,1648,0
1003114,1999,2219,0
1003114,2000,2219,0
1003114,2001,2219,0
1003114,2002,2219,0
1003114,2003,2219,0
1003464,2001,2464,0
1004945,2001,2421,0
1004945,2002,2421,0
1005010,2005,3242,0
1005010,2006,3242,0
1005010,2007,3242,0
1005123,1996,1718,0
1005230,1997,1313,0
1005268,1997,1622,0
1005268,1998,1622,0
1006240,2000,2016,0
1006892,2008,3585,0
1006892,2009,3585,1
1006892,2010,3585,0
1007800,2003,2483,0
1009304,1998,2033,0
1009304,1999,2033,0
1009304,2000,2033,0
1009304,2001,2033,0
1009626,2001,2961,0
1009626,2002,2961,0
1009626,2003,2961,0
1009626,2004,2961,0
1009869,1996,1353,0
1010788,2003,2617,0
1011064,2003,3160,0
1011064,2004,3160,0
1011584,1992,1480,0
1011584,1993,1480,0
1011584,1994,1480,0
1011584,1995,1480,0
1011584,1996,1480,0
1011632,1997,1246,0
1012480,1998,1628,0
1012482,2002,2403,0
1012482,2003,2403,0
1013243,2003,2270,0
1013749,1997,1751,0
1015610,2000,1999,0
1015610,2001,1999,0
1016370,1997,1603,0
1018645,1995,1340,0
1018645,1996,1340,0
1018730,1997,1721,1
1018833,1998,1997,0
1018833,1999,1997,0
1019376,1999,2280,0
1019376,2000,2280,0
1020416,1997,2558,0
1020416,1998,2558,0
1020416,1999,2558,0
1020416,2000,2558,0
1020416,2001,2558,0
1020416,2002,2558,0
1020416,2003,2558,0
1020416,2004,2558,0
1020416,2005,2558,0
1020616,1998,1781,0
1021009,2002,3061,0
1021009,2003,3061,0
1021009,2004,3061,0
1021009,2005,3061,0
1021264,1998,2105,0
1021264,1999,2105,0
1021264,2000,2105,0
